Line,Part Number,Category,Component Name,Description / Spec,Qty per Unit,Sample Run (50 units),Total Qty,Unit,Est. Unit Cost USD (sample qty),Est. Line Total USD,Est. Lead Time (Shenzhen),Confidence,Sourcing Notes
,,,,,,,,,,,,,,
,,FRAME & MECHANICAL,,,,,,,,,,,,
MG-F01,MG-F01,Frame & Mechanical,Frame assembly (front + temples),"Injection-molded TR-90 or nylon; matte black; full-rim rectangular; thickened hollow temple arms; universal bridge; 140mm W x 45mm H x 150mm D",1,50,50,set,$15.00,$750.00,3–5 weeks,INFERRED,"Shenzhen / Dongguan eyewear OEMs standard; Wenzhou (温州) is CN eyewear frame hub — many TR-90 smart glasses frame suppliers. Frame mold tooling NRE ~¥40k–¥120k ($5.5k–$16.5k) budget separately. At 50 units cost is high; drops to $4–$8 at MOQ 1000+"
MG-F02,MG-F02,Frame & Mechanical,Barrel hinges,"Spring-loaded 5-barrel hinge; stainless steel; 1 per side",2,50,100,each,$1.00,$100.00,1–2 weeks,INFERRED,"Wenzhou hinge suppliers standard; also available at HQB (华强北) for prototypes"
MG-F03,MG-F03,Frame & Mechanical,Hinge screws,"M1.4 stainless steel; 2–3 per hinge",6,50,300,each,$0.02,$6.00,1 week,INFERRED,"Bulk hardware; sourced locally in Shenzhen or Dongguan"
MG-F04,MG-F04,Frame & Mechanical,Nose pad arms,"Stainless steel adjustable saddle arms; universal bridge",2,50,100,each,$0.40,$40.00,1–2 weeks,CONFIRMED (type),"Standard eyewear hardware; Wenzhou or Shenzhen optical hardware market"
MG-F05,MG-F05,Frame & Mechanical,Nose pads (installed),"Silicone push-fit; replaceable; installed pair",2,50,100,each,$0.15,$15.00,1 week,CONFIRMED (type),
MG-F06,MG-F06,Frame & Mechanical,Nose pads (in-box spares),"Same spec as installed; 1 spare pair per unit",2,50,100,each,$0.15,$15.00,1 week,CONFIRMED (type),
MG-F07,MG-F07,Frame & Mechanical,Temple tips (ear hooks),"Soft silicone overmold over temple end",2,50,100,each,$0.40,$40.00,2–3 weeks,INFERRED,"Co-molded with temple or secondary silicone process; common at Shenzhen OEMs"
MG-F08,MG-F08,Frame & Mechanical,Frame logo,"MIRA text; laser-etched into temple arm surface",2,50,100,each,$0.20,$20.00,With frame lead time,CONFIRMED (presence),"Laser etching standard at Shenzhen frame OEMs; no add'l supplier needed"
MG-F09,MG-F09,Frame & Mechanical,Internal metal chassis,"Thin stainless steel skeleton in temple arms for structural rigidity",1,50,50,set,$2.50,$125.00,3–5 weeks,INFERRED,"Metal stamping; Shenzhen or Dongguan precision metal fab"
MG-F10,MG-F10,Frame & Mechanical,Adhesives and gaskets,"Structural adhesive (3M or local equiv) + silicone IPX2 gaskets for mic and speaker port openings",1,50,50,set,$1.20,$60.00,1 week,INFERRED,"3M adhesives and silicone gaskets widely available in Shenzhen; IPX2 sealing required per IEC 60529"
,,,,,,,,,,,,,,
,,DISPLAY SYSTEM,,,,,,,,,,,,
MG-D01,MG-D01,Display,Waveguide lens — left,"Diffractive or geometric waveguide; green monochrome; 28° FoV; integrated with lens substrate; 98% passthrough; AR + AF coated",1,50,50,each,$220.00,$11000.00,10–16 weeks,INFERRED,"Chinese waveguide suppliers: 灵犀微光 (Lingxi AR), 北京耐德佳 (Ned Optics), 水晶光电 (Crystal Optech), 视涯科技 (SeeYA). Still highest cost component even with CN sourcing. Custom waveguide design NRE may be ¥200k–¥800k ($28k–$110k) — budget separately"
MG-D02,MG-D02,Display,Waveguide lens — right,Same spec as MG-D01,1,50,50,each,$220.00,$11000.00,10–16 weeks,INFERRED,Must be matched pair with MG-D01; order as pair from same supplier
MG-D03,MG-D03,Display,Micro-projector module — left,"Micro-OLED or LCoS projector; green monochrome; min 2000 nit; 640x480; 60Hz; compact for edge-of-lens mounting",1,50,50,each,$70.00,$3500.00,6–10 weeks,INFERRED,"Chinese suppliers: 晶典微 JBD (Micro-LED), Himax HX7322 (LCoS — Taiwan, MFG in CN), 视涯科技 SeeYA, BOE display engine. JBD and Himax significantly cheaper than Western equivalents at sample qty"
