supplier_id,overall_fit,status,contact,company_name,chinese_name,location,platform,type,product_model,product_category,price_cny,moq,battery_mah,sizes,material,colors,water_resistance,charging,ble_version,certifications,touch_gesture,health_sensors,private_label,dropshipping,overall_fit,verdict,notes
1,Low,DQ,,Shenzhen Huagepeng Technology Co. Ltd.,深圳市华鸽朋科技有限公司,"Shenzhen, Guangdong",1688.com,Factory wholesale,Equantu SQ976,Prayer/tally counter ring,¥80–95,3,40,18/20/22mm,Plastic,"Black, White",Not specified,Data cable,Unspecified,None,Counter touchscreen only,None,No,No,Low,Does not meet Mira Ring requirements.,Counter ring only; no gesture control; no 5ATM; no magnetic charging.
2,Low,DQ,,Shenzhen Hangu Cloud Technology Co. Ltd.,深圳市汉谷云科技有限公司,"Shenzhen, Guangdong",1688.com,Factory direct,Equantu QB702/QB709/SQ976 multi-model,Prayer/tally counter ring,¥45–290,3,18–55,18/20/22mm,"Plastic, zinc alloy, ceramic, titanium, stainless+gel","Black, Silver, Gold",Waterproof (no rating),Data cable / charging case,Unspecified,None,Counter touchscreen only,None,No,No,Low,Does not meet Mira Ring requirements.,Counter ring; no 5ATM confirmed; no magnetic charging; some premium materials available.
3,Low,DQ,,Shenzhen Weitecheng Technology Co. Ltd.,深圳市韦特诚科技有限公司,"Shenzhen, Guangdong",1688.com,Manufacturer,Equantu SQ9761/SQ9762,Prayer/tally counter ring,¥95–110,1,40,18/20/22mm (replaceable holders),Plastic,"Black, White, Dark Violet, Green, Blue, Pink",Not specified,USB data cable,Yes,None,Hand press button,None,Yes,No,Low,Does not meet Mira Ring requirements.,Button not capacitive touch; no 5ATM; no magnetic charging. Low MOQ and private label available.
4,Low,DQ,,Shenzhen Zhentongxin Technology Co. Ltd.,深圳市振通鑫科技有限公司,"Shenzhen, Guangdong",1688.com,Distributor/reseller,Equantu SQ976,Prayer/tally counter ring,¥85–90,1,40,18/20/22mm,Plastic,"Black, White",Not specified,Data cable,Yes,None,Counter touchscreen only,None,Yes,Yes,Low,Does not meet Mira Ring requirements.,Same SQ976 as Supplier 1; no 5ATM; no magnetic charging. Dropshipping and private label available.
5,Low,Wechat,James John,Shenzhen Beiqi Information Technology Co. Ltd.,深圳市贝奇信息技术有限公司,"Shenzhen, Guangdong",1688.com,Factory wholesale,BeiQi S7,Prayer/tally counter ring,¥38–46,10,Not specified,Finger wear,Not specified,"Black, Gray, Gold, Green",Waterproof (no rating),Not specified,Yes,None,Touch + luminous,None,No,No,Low,Does not meet Mira Ring requirements.,High sales volume (4300+) indicates manufacturing reliability. Counter ring; no 5ATM confirmed; no magnetic charging.
6,Low,Outreach,,Dongguan Xingyao Zhiqing Technology Co. Ltd.,东莞星耀智擎科技有限公司,"Foshan, Guangdong",1688.com,Distributor/possible factory,Equantu QB702/QB709 multi-model,Prayer/social counter ring,¥49–308,1,40,18/20/22mm,"Zinc alloy, ceramic, plastic","Black, Silver, Gold",Not specified,USB / charging case,5.4,CE (partial),Counter touchscreen only,None,No,Yes,Low,Does not meet Mira Ring requirements.,Counter ring; BLE 5.4 noted (positive); CE partial cert; ceramic/premium materials available.
7,Medium,Wechat,,Huizhou Xinyao Electronic Technology Co. Ltd.,惠州市鑫曜电子科技有限公司,"Huizhou, Guangdong",1688.com,Factory direct,Health Smart Ring,Health/fitness smart ring,¥47–63,1,18,US #6–#14,Not specified,"Black, Silver, Gold",Waterproof (no rating),Magnetic cable OR charging compartment,Unspecified,None,Not explicitly stated,"HR, SpO2, blood pressure, sleep, steps",No,Yes,Medium,Partial match. Strong on price and scale; key gaps: waterproof rating and certifications.,Highest sales volume (14000+). Magnetic charging confirmed. No waterproof rating; no certs; no gesture/touch confirmed. Duplicate of Supplier 9.
8,High,Outreach,,Shenzhen Xinzhiyan Medical Technology Co. Ltd.,深圳市新智研医疗科技有限公司,"Shenzhen, Guangdong",1688.com,Factory direct (medical),HK01,Medical-grade health smart ring,¥89,10,18,US #7–#11,Stainless steel + epoxy,"Space gray, Black, Silver, Purple, Gold, Rose Gold",IP68,Cradle/stand (NOT magnetic),BLE 5.0,CE + FCC,Touchscreen mentioned,"HR, SpO2, HRV, stress, menstrual, steps, sleep",No,Yes,High,Strong match except charging method. Best-documented supplier.,IP68; BLE 5.0; CE+FCC confirmed. Critical gap: no magnetic charging. Worth asking about magnetic variant.
10,High,Wechat,,Huaou Tonghui (Suzhou) Technology Co. Ltd.,华欧同惠科技有限公司,"Suzhou, Jiangsu",1688.com,Manufacturer,K80,Health/lifestyle smart ring,¥119,2,15,US #7–#13,Not specified,"Gold, Silver, Black",5ATM (confirmed),Charging case (not confirmed magnetic),Unspecified,None,Touchscreen (confirmed),"Sleep, HR, SpO2, steps",No,Yes,High,Strong candidate. 5ATM and touch confirmed. Follow up on magnetic charging and certifications.,5ATM explicitly stated. Low MOQ. Suzhou location may affect logistics. Higher price vs. competitors.
11,High,Wechat,,Guangzhou Xuanzhi Technology Co. Ltd.,广州玄致科技有限公司,"Guangzhou, Guangdong",1688.com,Manufacturer,Q8/R08,Premium health smart ring,¥99–105,5,15–18,US standard,Not specified,"Black, Gold",Oura-level (no IP/ATM number),Magnetic wireless (confirmed),Unspecified,None,Gesture/touch control confirmed,"HR, SpO2, HRV, stress, skin temp, sleep",Yes,Yes,High,Strong candidate. Best combo of magnetic charging + gesture + volume pricing + private label.,Private label available. Volume pricing ¥99 at 2000 units hits cost target. No explicit waterproof rating confirmed.
