supplier_id,overall_fit,status,company_name,chinese_name,location,platform,type,product_model,product_category,price_cny,moq,battery_mah,sizes,material,colors,water_resistance,charging,ble_version,certifications,touch_gesture,health_sensors,private_label,dropshipping,overall_fit,verdict,notes
1,Medium,Outreach,Shenzhen Yilian Home Furnishings E-commerce Co. Ltd.,深圳市宜联家居电子商务有限公司,"Shenzhen, Guangdong",1688.com,Factory wholesale,RayBird V3 Charging Case,Smart glasses charging case,¥100–115,TBD,Not specified,N/A,ABS shell,Not specified,N/A,Magnetic dock + USB-C input,N/A,None,N/A,N/A,Yes,No,Medium,Partial match. Below BOM target; glasses magnetic charging confirmed. Battery unspecified; ring dock needs ODM; ABS not leather; soft lining unconfirmed.,1-year platform tenure. Custom logo supported. Premium finish needs sample verification.
2,Medium,Outreach,Shenzhen Xiuyunjian Technology Co. Ltd.,深圳市岫云间科技有限公司,"Shenzhen, Guangdong",1688.com,Manufacturer,Ray-Ban Compatible Charging Case,Smart glasses charging dock/case,¥130,TBD,Not specified,N/A,ABS shell,Not specified,N/A,Magnetic dock; USB-C unconfirmed,N/A,None,N/A,N/A,Yes,No,Medium,Partial match. Ray-Ban form factor signals glasses fit. Below BOM target. Battery unspecified; ring dock needs ODM; USB-C unconfirmed.,OEM confirmed. MOQ not listed — needs inquiry.
3,High,Outreach,Shenzhen Hongsonic Electronic Co. Ltd.,,Shenzhen China,Alibaba.com,Manufacturer,Ray-Ban Glasses Charging Case,Leather glasses charging case,~¥760–880 ($105–122 USD),100,3500,17 × 7 × 8 cm,Microfiber + leather,"Brown, Black, Blue",N/A,USB-C (wired),N/A,None,N/A,N/A,Yes,No,High,Strongest candidate for full ODM engagement. Leather+microfiber; 3500mAh; USB-C; low MOQ (100 pcs). Ring dock requires ODM interior modification. List price above BOM target — direct factory pricing needed.,Primary candidate. Dimensions fit Mira glasses. All premium material requirements met. Request custom ring dock recess and pogo pin rail.
4,High,Outreach,Shenzhen Woshun Technology Co. Ltd.,,Shenzhen China,Alibaba.com,Manufacturer,M02 Smart Glasses Charging Case,Smart glasses charging case,~¥345 ($47.59 USD),1,3600,Not specified,Not specified,Not specified,N/A,Type-C (wired),N/A,None,N/A,N/A,Yes,No,High,Strong electronics baseline. 3600mAh; Type-C; MOQ of 1 enables easy sampling. Shell material unconfirmed. Ring dock is key gap.,AI glasses ecosystem focus. Best for electronics integration. Zero-barrier sampling. Pair with shell specialist if needed.
5,Low,Outreach,Shenzhen Botaihua Packing Co. Ltd.,,Shenzhen China,Alibaba.com,Packaging manufacturer,Hard Shell Smart Glasses EVA Case,Hard shell protective glasses case,~¥320–420 ($44–58 USD),1000,None,7–7.9 inches width,PU leather over hard EVA,Not specified,N/A,Charging hole passthrough only,N/A,None,N/A,N/A,Yes,No,Low (shell only),Best fit for physical shell component only. No charging electronics — packaging house only. High MOQ (1000) for sampling.,Evaluate as shell-only supplier paired with electronics integrator. Magnetic closure confirmed. Width fits Mira frame.
6,Medium,Outreach,Dongguan Zunwin Outdoor Products Co. Limited,,Dongguan China,Alibaba.com,OEM/ODM manufacturer,AI Smart Glasses Portable Charger Bag,Leather protective charging bag,~¥485–515 ($67–71 USD),50,Not specified,Not specified,Leather + ABS structural,Not specified,N/A,Charging mechanism unclear; USB-C unconfirmed,N/A,None,N/A,N/A,Yes,No,Medium,Strong customization house with lowest MOQ (50 pcs). Leather confirmed; AI glasses focus. Charging mechanism ambiguous — may be passthrough not integrated battery. Clarify before proceeding.,Outdoor/tactical construction means robust build. Low MOQ ideal for sampling. Price above BOM target — negotiate.
7,High,Outreach,Shenzhen F&C Tech Co. Ltd.,,Shenzhen China,Alibaba.com,Manufacturer,CA06 Wireless Charging Smart Glasses Case,Smart glasses case with wireless charging + Find My,RFQ required,1000,150,Not specified,Leather,Not specified,N/A,Wireless (inductive); input unconfirmed,N/A,None,N/A,N/A,Yes,No,High (with ODM battery upgrade),Most technically differentiated. Wireless charging + Apple Find My are premium features. Critical gap: 150mAh battery far below 500mAh minimum — ODM upgrade required.,Find My integration is a strong Mira brand differentiator. Confirm whether battery can be upgraded to ≥1500mAh. MOQ 1000 too high for sampling — negotiate.
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"DQ, Outreach, Wechat, Fit, QC, Selected",,,,,,,,,,,,,,,,,,,,,,,
